,match_id,player,row,crosscourt,down_middle,down_the_line,inside_out,inside_in,tourney_date,sm,tourney_name,sm2
750,20090607-M-Roland_Garros-F-Robin_Soderling-Roger_Federer,Robin Soderling,Total,76,56,23,35,5,20090607,M,Roland_Garros,F
754,20090607-M-Roland_Garros-F-Robin_Soderling-Roger_Federer,Roger Federer,Total,77,54,21,26,7,20090607,M,Roland_Garros,F
758,20090705-M-Wimbledon-F-Andy_Roddick-Roger_Federer,Andy Roddick,Total,165,81,59,71,4,20090705,M,Wimbledon,F
762,20090705-M-Wimbledon-F-Andy_Roddick-Roger_Federer,Roger Federer,Total,165,96,57,46,7,20090705,M,Wimbledon,F
766,20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,Marat Safin,Total,59,66,19,17,0,20091110,M,Paris_Masters,R32
770,20091110-M-Paris_Masters-R32-Marat_Safin-Juan_Martin_Del_Potro,Juan Martin Del Potro,Total,60,59,9,21,0,20091110,M,Paris_Masters,R32
774,20091123-M-Tour_Finals-RR-Robin_Soderling-Rafael_Nadal,Robin Soderling,Total,119,27,33,30,7,20091123,M,Tour_Finals,RR
778,20091123-M-Tour_Finals-RR-Robin_Soderling-Rafael_Nadal,Rafael Nadal,Total,105,44,40,21,5,20091123,M,Tour_Finals,RR
782,20091127-M-Tour_Finals-SF-Robin_Soderling-Juan_Martin_Del_Potro,Robin Soderling,Total,78,43,26,56,4,20091127,M,Tour_Finals,SF
786,20091127-M-Tour_Finals-SF-Robin_Soderling-Juan_Martin_Del_Potro,Juan Martin Del Potro,Total,80,70,25,23,1,20091127,M,Tour_Finals,SF
790,20100126-M-Australian_Open-QF-Andy_Murray-Rafael_Nadal,Andy Murray,Total,196,33,50,12,1,20100126,M,Australian_Open,QF
794,20100126-M-Australian_Open-QF-Andy_Murray-Rafael_Nadal,Rafael Nadal,Total,139,36,73,38,12,20100126,M,Australian_Open,QF
798,20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,Roger Federer,Total,153,182,21,57,5,20100131,M,Australian_Open,F
802,20100131-M-Australian_Open-F-Roger_Federer-Andy_Murray,Andy Murray,Total,179,157,35,40,3,20100131,M,Australian_Open,F
806,20100415-M-Monte_Carlo_Masters-R16-Rafael_Nadal-Michael_Berrer,Rafael Nadal,Total,57,7,20,32,12,20100415,M,Monte_Carlo_Masters,R16
810,20100415-M-Monte_Carlo_Masters-R16-Rafael_Nadal-Michael_Berrer,Michael Berrer,Total,54,28,17,10,1,20100415,M,Monte_Carlo_Masters,R16
814,20100418-M-Monte_Carlo_Masters-F-Fernando_Verdasco-Rafael_Nadal,Fernando Verdasco,Total,107,7,68,18,9,20100418,M,Monte_Carlo_Masters,F
818,20100418-M-Monte_Carlo_Masters-F-Fernando_Verdasco-Rafael_Nadal,Rafael Nadal,Total,88,7,78,18,14,20100418,M,Monte_Carlo_Masters,F
822,20100512-M-Madrid_Masters-R16-John_Isner-Rafael_Nadal,John Isner,Total,33,19,19,12,7,20100512,M,Madrid_Masters,R16
826,20100512-M-Madrid_Masters-R16-John_Isner-Rafael_Nadal,Rafael Nadal,Total,23,11,5,49,13,20100512,M,Madrid_Masters,R16
830,20100606-M-Roland_Garros-F-Robin_Soderling-Rafael_Nadal,Robin Soderling,Total,107,47,66,48,11,20100606,M,Roland_Garros,F
834,20100606-M-Roland_Garros-F-Robin_Soderling-Rafael_Nadal,Rafael Nadal,Total,128,50,45,26,5,20100606,M,Roland_Garros,F
838,20100704-M-Wimbledon-F-Tomas_Berdych-Rafael_Nadal,Tomas Berdych,Total,77,45,21,34,4,20100704,M,Wimbledon,F
842,20100704-M-Wimbledon-F-Tomas_Berdych-Rafael_Nadal,Rafael Nadal,Total,78,49,41,28,8,20100704,M,Wimbledon,F
846,20100912-M-US_Open-F-Novak_Djokovic-Rafael_Nadal,Novak Djokovic,Total,207,88,91,90,11,20100912,M,US_Open,F
850,20100912-M-US_Open-F-Novak_Djokovic-Rafael_Nadal,Rafael Nadal,Total,215,91,84,50,23,20100912,M,US_Open,F
854,20101010-M-Shanghai_Masters-QF-Robin_Soderling-Roger_Federer,Robin Soderling,Total,45,8,17,26,0,20101010,M,Shanghai_Masters,QF
858,20101010-M-Shanghai_Masters-QF-Robin_Soderling-Roger_Federer,Roger Federer,Total,40,13,13,16,3,20101010,M,Shanghai_Masters,QF
862,20110102-M-Brisbane-R16-Robin_Soderling-Michael_Berrer,Robin Soderling,Total,57,16,41,30,7,20110102,M,Brisbane,R16
866,20110102-M-Brisbane-R16-Robin_Soderling-Michael_Berrer,Michael Berrer,Total,68,29,29,13,1,20110102,M,Brisbane,R16
870,20110118-M-Australian_Open-R128-David_Nalbandian-Lleyton_Hewitt,David Nalbandian,Total,324,127,139,93,6,20110118,M,Australian_Open,R128
874,20110118-M-Australian_Open-R128-David_Nalbandian-Lleyton_Hewitt,Lleyton Hewitt,Total,329,179,100,55,1,20110118,M,Australian_Open,R128
878,20110130-M-Australian_Open-F-Novak_Djokovic-Andy_Murray,Novak Djokovic,Total,153,107,88,54,11,20110130,M,Australian_Open,F
882,20110130-M-Australian_Open-F-Novak_Djokovic-Andy_Murray,Andy Murray,Total,239,86,44,55,2,20110130,M,Australian_Open,F
886,20110221-M-Dubai-F-Roger_Federer-Novak_Djokovic,Roger Federer,Total,55,34,15,30,3,20110221,M,Dubai,F
890,20110221-M-Dubai-F-Roger_Federer-Novak_Djokovic,Novak Djokovic,Total,52,38,8,23,3,20110221,M,Dubai,F
894,20110310-M-Indian_Wells_Masters-QF-Richard_Gasquet-Novak_Djokovic,Richard Gasquet,Total,122,73,28,22,0,20110310,M,Indian_Wells_Masters,QF
898,20110310-M-Indian_Wells_Masters-QF-Richard_Gasquet-Novak_Djokovic,Novak Djokovic,Total,102,51,40,52,8,20110310,M,Indian_Wells_Masters,QF
902,20110316-M-Indian_Wells_Masters-QF-Roger_Federer-Stan_Wawrinka,Roger Federer,Total,40,25,17,17,5,20110316,M,Indian_Wells_Masters,QF
906,20110316-M-Indian_Wells_Masters-QF-Roger_Federer-Stan_Wawrinka,Stan Wawrinka,Total,65,18,16,20,4,20110316,M,Indian_Wells_Masters,QF
910,20110319-M-Indian_Wells_Masters-F-Novak_Djokovic-Rafael_Nadal,Novak Djokovic,Total,170,64,55,46,5,20110319,M,Indian_Wells_Masters,F
914,20110319-M-Indian_Wells_Masters-F-Novak_Djokovic-Rafael_Nadal,Rafael Nadal,Total,149,85,50,29,10,20110319,M,Indian_Wells_Masters,F
918,20110401-M-Miami_Masters-SF-Roger_Federer-Rafael_Nadal,Roger Federer,Total,58,33,21,23,15,20110401,M,Miami_Masters,SF
922,20110401-M-Miami_Masters-SF-Roger_Federer-Rafael_Nadal,Rafael Nadal,Total,64,24,29,20,6,20110401,M,Miami_Masters,SF
926,20110424-M-Barcelona-F-David_Ferrer-Rafael_Nadal,David Ferrer,Total,137,50,41,37,21,20110424,M,Barcelona,F
930,20110424-M-Barcelona-F-David_Ferrer-Rafael_Nadal,Rafael Nadal,Total,134,41,67,24,18,20110424,M,Barcelona,F
934,20110508-M-Rome_Masters-F-Novak_Djokovic-Rafael_Nadal,Novak Djokovic,Total,203,73,49,54,3,20110508,M,Rome_Masters,F
938,20110508-M-Rome_Masters-F-Novak_Djokovic-Rafael_Nadal,Rafael Nadal,Total,164,112,61,30,11,20110508,M,Rome_Masters,F
942,20110603-M-Roland_Garros-SF-Novak_Djokovic-Roger_Federer,Novak Djokovic,Total,212,158,32,100,5,20110603,M,Roland_Garros,SF
946,20110603-M-Roland_Garros-SF-Novak_Djokovic-Roger_Federer,Roger Federer,Total,161,206,41,45,9,20110603,M,Roland_Garros,SF
950,20110605-M-Roland_Garros-F-Roger_Federer-Rafael_Nadal,Roger Federer,Total,163,104,56,63,8,20110605,M,Roland_Garros,F
954,20110605-M-Roland_Garros-F-Roger_Federer-Rafael_Nadal,Rafael Nadal,Total,205,121,49,40,7,20110605,M,Roland_Garros,F
958,20110606-M-Queens_Club-SF-Andy_Murray-Andy_Roddick,Andy Murray,Total,64,25,15,15,1,20110606,M,Queens_Club,SF
962,20110606-M-Queens_Club-SF-Andy_Murray-Andy_Roddick,Andy Roddick,Total,41,20,16,36,5,20110606,M,Queens_Club,SF
966,20110703-M-Wimbledon-F-Novak_Djokovic-Rafael_Nadal,Novak Djokovic,Total,121,39,45,34,6,20110703,M,Wimbledon,F
970,20110703-M-Wimbledon-F-Novak_Djokovic-Rafael_Nadal,Rafael Nadal,Total,114,59,44,35,10,20110703,M,Wimbledon,F
974,20110717-M-Bastad-F-David_Ferrer-Robin_Soderling,David Ferrer,Total,83,53,16,23,2,20110717,M,Bastad,F
978,20110717-M-Bastad-F-David_Ferrer-Robin_Soderling,Robin Soderling,Total,68,35,36,37,2,20110717,M,Bastad,F
982,20111008-M-Tokyo-SF-David_Ferrer-Andy_Murray,David Ferrer,Total,120,41,20,37,10,20111008,M,Tokyo,SF
986,20111008-M-Tokyo-SF-David_Ferrer-Andy_Murray,Andy Murray,Total,116,43,43,20,1,20111008,M,Tokyo,SF
990,20111009-M-Shanghai_Masters-R32-David_Ferrer-Milos_Raonic,David Ferrer,Total,75,28,12,28,3,20111009,M,Shanghai_Masters,R32
994,20111009-M-Shanghai_Masters-R32-David_Ferrer-Milos_Raonic,Milos Raonic,Total,60,25,22,46,7,20111009,M,Shanghai_Masters,R32
998,20111021-M-Stockholm-QF-Grigor_Dimitrov-Milos_Raonic,Grigor Dimitrov,Total,63,28,11,13,3,20111021,M,Stockholm,QF
1002,20111021-M-Stockholm-QF-Grigor_Dimitrov-Milos_Raonic,Milos Raonic,Total,30,29,21,26,5,20111021,M,Stockholm,QF
1006,20111122-M-Tour_Finals-RR-Roger_Federer-Rafael_Nadal,Roger Federer,Total,59,31,23,15,4,20111122,M,Tour_Finals,RR
1010,20111122-M-Tour_Finals-RR-Roger_Federer-Rafael_Nadal,Rafael Nadal,Total,42,47,21,17,2,20111122,M,Tour_Finals,RR
1014,20111125-M-Tour_Finals-SF-David_Ferrer-Roger_Federer,David Ferrer,Total,60,41,17,67,6,20111125,M,Tour_Finals,SF
1018,20111125-M-Tour_Finals-SF-David_Ferrer-Roger_Federer,Roger Federer,Total,80,53,20,24,6,20111125,M,Tour_Finals,SF
1022,20120108-M-Chennai-F-Milos_Raonic-Janko_Tipsarevic,Milos Raonic,Total,86,39,30,58,20,20120108,M,Chennai,F
1026,20120108-M-Chennai-F-Milos_Raonic-Janko_Tipsarevic,Janko Tipsarevic,Total,106,52,41,37,6,20120108,M,Chennai,F
1030,20120122-M-Australian_Open-R16-Novak_Djokovic-Lleyton_Hewitt,Novak Djokovic,Total,206,83,58,46,7,20120122,M,Australian_Open,R16
1032,20120124-M-Australian_Open-QF-David_Ferrer-Novak_Djokovic,David Ferrer,Total,270,108,59,79,13,20120124,M,Australian_Open,QF
1036,20120124-M-Australian_Open-QF-David_Ferrer-Novak_Djokovic,Novak Djokovic,Total,254,111,83,64,14,20120124,M,Australian_Open,QF
1040,20120125-M-Australian_Open-QF-Andy_Murray-Kei_Nishikori,Andy Murray,Total,162,49,39,26,3,20120125,M,Australian_Open,QF
1044,20120125-M-Australian_Open-QF-Andy_Murray-Kei_Nishikori,Kei Nishikori,Total,160,58,45,29,1,20120125,M,Australian_Open,QF
1048,20120127-M-Australian_Open-SF-Novak_Djokovic-Andy_Murray,Novak Djokovic,Total,330,218,129,89,19,20120127,M,Australian_Open,SF
1052,20120127-M-Australian_Open-SF-Novak_Djokovic-Andy_Murray,Andy Murray,Total,476,125,87,92,3,20120127,M,Australian_Open,SF
1056,20120127-M-Australian_Open-SF-Roger_Federer-Rafael_Nadal,Roger Federer,Total,189,76,72,43,15,20120127,M,Australian_Open,SF
1060,20120127-M-Australian_Open-SF-Roger_Federer-Rafael_Nadal,Rafael Nadal,Total,211,62,71,59,10,20120127,M,Australian_Open,SF
1064,20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,Novak Djokovic,Total,277,193,89,133,8,20120129,M,Australian_Open,F
1068,20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,Rafael Nadal,Total,197,272,112,110,7,20120129,M,Australian_Open,F
1072,20120210-M-Davis_Cup_World_Group_R1-RR-Julien_Benneteau-Milos_Raonic,Julien Benneteau,Total,88,27,26,29,4,20120210,M,Davis_Cup_World_Group_R1,RR
1076,20120210-M-Davis_Cup_World_Group_R1-RR-Julien_Benneteau-Milos_Raonic,Milos Raonic,Total,57,19,34,47,20,20120210,M,Davis_Cup_World_Group_R1,RR
1080,20120219-M-Rotterdam-F-Roger_Federer-Juan_Martin_Del_Potro,Roger Federer,Total,70,60,28,41,5,20120219,M,Rotterdam,F
1084,20120219-M-Rotterdam-F-Roger_Federer-Juan_Martin_Del_Potro,Juan Martin Del Potro,Total,95,55,27,20,0,20120219,M,Rotterdam,F
1088,20120225-M-Buenos_Aires-SF-David_Ferrer-David_Nalbandian,David Ferrer,Total,61,16,16,23,6,20120225,M,Buenos_Aires,SF
1092,20120225-M-Buenos_Aires-SF-David_Ferrer-David_Nalbandian,David Nalbandian,Total,69,31,15,9,1,20120225,M,Buenos_Aires,SF
1096,20120227-M-Dubai-SF-Andy_Murray-Novak_Djokovic,Andy Murray,Total,55,62,12,19,0,20120227,M,Dubai,SF
1100,20120227-M-Dubai-SF-Andy_Murray-Novak_Djokovic,Novak Djokovic,Total,50,43,15,35,1,20120227,M,Dubai,SF
1104,20120303-M-Dubai-F-Andy_Murray-Roger_Federer,Andy Murray,Total,50,71,16,21,0,20120303,M,Dubai,F
1108,20120303-M-Dubai-F-Andy_Murray-Roger_Federer,Roger Federer,Total,45,57,14,35,1,20120303,M,Dubai,F
1112,20120316-M-Indian_Wells_Masters-SF-Roger_Federer-Rafael_Nadal,Roger Federer,Total,80,67,21,18,5,20120316,M,Indian_Wells_Masters,SF
1116,20120316-M-Indian_Wells_Masters-SF-Roger_Federer-Rafael_Nadal,Rafael Nadal,Total,76,70,25,25,2,20120316,M,Indian_Wells_Masters,SF
1120,20120327-M-Miami_Masters-QF-David_Ferrer-Novak_Djokovic,David Ferrer,Total,105,79,36,47,9,20120327,M,Miami_Masters,QF
1124,20120327-M-Miami_Masters-QF-David_Ferrer-Novak_Djokovic,Novak Djokovic,Total,141,74,29,40,1,20120327,M,Miami_Masters,QF
1128,20120406-M-Davis_Cup_World_Group_QF-RR-Ivo_Karlovic-Juan_Martin_Del_Potro,Ivo Karlovic,Total,51,12,16,34,5,20120406,M,Davis_Cup_World_Group_QF,RR
1132,20120406-M-Davis_Cup_World_Group_QF-RR-Ivo_Karlovic-Juan_Martin_Del_Potro,Juan Martin Del Potro,Total,49,33,18,26,4,20120406,M,Davis_Cup_World_Group_QF,RR
1136,20120422-M-Monte_Carlo_Masters-F-Novak_Djokovic-Rafael_Nadal,Novak Djokovic,Total,63,66,20,46,4,20120422,M,Monte_Carlo_Masters,F
1140,20120422-M-Monte_Carlo_Masters-F-Novak_Djokovic-Rafael_Nadal,Rafael Nadal,Total,60,71,16,33,3,20120422,M,Monte_Carlo_Masters,F
1144,20120516-M-Rome_Masters-R32-Roger_Federer-Carlos_Berlocq,Roger Federer,Total,48,36,10,35,5,20120516,M,Rome_Masters,R32
1148,20120516-M-Rome_Masters-R32-Roger_Federer-Carlos_Berlocq,Carlos Berlocq,Total,24,62,16,21,0,20120516,M,Rome_Masters,R32
1152,20120519-M-Rome_Masters-F-Novak_Djokovic-Rafael_Nadal,Novak Djokovic,Total,148,61,60,46,11,20120519,M,Rome_Masters,F
1156,20120519-M-Rome_Masters-F-Novak_Djokovic-Rafael_Nadal,Rafael Nadal,Total,151,64,49,49,14,20120519,M,Rome_Masters,F
1160,20120519-M-Rome_Masters-SF-Roger_Federer-Novak_Djokovic,Roger Federer,Total,95,62,17,31,3,20120519,M,Rome_Masters,SF
1164,20120519-M-Rome_Masters-SF-Roger_Federer-Novak_Djokovic,Novak Djokovic,Total,89,56,17,29,6,20120519,M,Rome_Masters,SF
1168,20120608-M-Roland_Garros-F-Novak_Djokovic-Rafael_Nadal,Novak Djokovic,Total,266,84,129,83,11,20120608,M,Roland_Garros,F
1172,20120608-M-Roland_Garros-F-Novak_Djokovic-Rafael_Nadal,Rafael Nadal,Total,246,97,121,68,25,20120608,M,Roland_Garros,F
1176,20120706-M-Wimbledon-SF-Roger_Federer-Novak_Djokovic,Roger Federer,Total,103,64,26,29,3,20120706,M,Wimbledon,SF
1180,20120706-M-Wimbledon-SF-Roger_Federer-Novak_Djokovic,Novak Djokovic,Total,99,65,35,42,5,20120706,M,Wimbledon,SF
1184,20120708-M-Wimbledon-F-Roger_Federer-Andy_Murray,Roger Federer,Total,0,0,0,0,0,20120708,M,Wimbledon,F
1185,20120708-M-Wimbledon-F-Roger_Federer-Andy_Murray,Andy Murray,Total,0,0,0,0,0,20120708,M,Wimbledon,F
1186,20120725-M-Olympics-R32-Roger_Federer-Julien_Benneteau,Roger Federer,Total,39,26,6,12,1,20120725,M,Olympics,R32
1190,20120725-M-Olympics-R32-Roger_Federer-Julien_Benneteau,Julien Benneteau,Total,39,13,3,25,4,20120725,M,Olympics,R32
1194,20120731-M-Olympics-R32-Jarkko_Nieminen-Andy_Murray,Jarkko Nieminen,Total,44,29,23,18,1,20120731,M,Olympics,R32
1198,20120731-M-Olympics-R32-Jarkko_Nieminen-Andy_Murray,Andy Murray,Total,46,26,15,20,1,20120731,M,Olympics,R32
1202,20120731-M-Olympics-R32-Novak_Djokovic-Andy_Roddick,Novak Djokovic,Total,27,18,22,15,2,20120731,M,Olympics,R32
1206,20120731-M-Olympics-R32-Novak_Djokovic-Andy_Roddick,Andy Roddick,Total,36,22,10,20,1,20120731,M,Olympics,R32
1210,20120802-M-Olympics-QF-Novak_Djokovic-Jo_Wilfried_Tsonga,Novak Djokovic,Total,38,19,22,16,2,20120802,M,Olympics,QF
1214,20120802-M-Olympics-QF-Novak_Djokovic-Jo_Wilfried_Tsonga,Jo Wilfried Tsonga,Total,34,21,19,16,2,20120802,M,Olympics,QF
1218,20120803-M-Olympics-SF-Andy_Murray-Novak_Djokovic,Andy Murray,Total,81,93,26,38,0,20120803,M,Olympics,SF
1222,20120803-M-Olympics-SF-Andy_Murray-Novak_Djokovic,Novak Djokovic,Total,75,91,29,36,0,20120803,M,Olympics,SF
1226,20120804-M-Olympics-F-Andy_Murray-Roger_Federer,Andy Murray,Total,108,44,35,21,2,20120804,M,Olympics,F
1230,20120804-M-Olympics-F-Andy_Murray-Roger_Federer,Roger Federer,Total,81,44,20,34,10,20120804,M,Olympics,F
1234,20120806-M-Finland_F1-SF-Andres_Artunedo-Vladimir_Ivanov,Andres Artunedo,Total,72,45,3,2,0,20120806,M,Finland_F1,SF
1238,20120806-M-Finland_F1-SF-Andres_Artunedo-Vladimir_Ivanov,Vladimir Ivanov,Total,61,29,9,12,2,20120806,M,Finland_F1,SF
1242,20120818-M-Cincinnati_Masters-F-Novak_Djokovic-Roger_Federer,Novak Djokovic,Total,61,53,12,16,2,20120818,M,Cincinnati_Masters,F
1246,20120818-M-Cincinnati_Masters-F-Novak_Djokovic-Roger_Federer,Roger Federer,Total,68,27,16,25,1,20120818,M,Cincinnati_Masters,F
1250,20120820-M-Finland_F3-SF-Markus_Eriksson-Alexandre_Penaud,Markus Eriksson,Total,95,76,25,51,3,20120820,M,Finland_F3,SF
1254,20120820-M-Finland_F3-SF-Markus_Eriksson-Alexandre_Penaud,Alexandre Penaud,Total,73,87,25,36,2,20120820,M,Finland_F3,SF
1258,20120820-M-Finland_F3-SF-Vladimir_Ivanov-Alexander_Vasilenko,Vladimir Ivanov,Total,56,43,8,20,4,20120820,M,Finland_F3,SF
1262,20120820-M-Finland_F3-SF-Vladimir_Ivanov-Alexander_Vasilenko,Alexander Vasilenko,Total,51,44,13,19,1,20120820,M,Finland_F3,SF
1266,20120829-M-US_Open-R64-Ivan_Dodig-Andy_Murray,Ivan Dodig,Total,118,69,40,25,2,20120829,M,US_Open,R64
1270,20120829-M-US_Open-R64-Ivan_Dodig-Andy_Murray,Andy Murray,Total,131,42,51,36,6,20120829,M,US_Open,R64
1274,20120904-M-US_Open-QF-Novak_Djokovic-Juan_Martin_Del_Potro,Novak Djokovic,Total,181,65,76,44,9,20120904,M,US_Open,QF
1278,20120904-M-US_Open-QF-Novak_Djokovic-Juan_Martin_Del_Potro,Juan Martin Del Potro,Total,235,81,28,35,10,20120904,M,US_Open,QF
1282,20120909-M-US_Open-F-Novak_Djokovic-Andy_Murray,Novak Djokovic,Total,288,258,76,164,5,20120909,M,US_Open,F
1286,20120909-M-US_Open-F-Novak_Djokovic-Andy_Murray,Andy Murray,Total,321,246,101,101,2,20120909,M,US_Open,F
1290,20121008-M-Shanghai_Masters-R32-Novak_Djokovic-Grigor_Dimitrov,Novak Djokovic,Total,55,21,17,15,2,20121008,M,Shanghai_Masters,R32
1294,20121008-M-Shanghai_Masters-R32-Novak_Djokovic-Grigor_Dimitrov,Grigor Dimitrov,Total,47,32,19,14,4,20121008,M,Shanghai_Masters,R32
1298,20121011-M-Shanghai_Masters-R16-Alexandr_Dolgopolov-Andy_Murray,Alexandr Dolgopolov,Total,63,39,12,14,0,20121011,M,Shanghai_Masters,R16
1302,20121011-M-Shanghai_Masters-R16-Alexandr_Dolgopolov-Andy_Murray,Andy Murray,Total,54,39,13,15,0,20121011,M,Shanghai_Masters,R16
1306,20121029-M-Paris_Masters-F-David_Ferrer-Jerzy_Janowicz,David Ferrer,Total,51,31,11,28,4,20121029,M,Paris_Masters,F
1310,20121029-M-Paris_Masters-F-David_Ferrer-Jerzy_Janowicz,Jerzy Janowicz,Total,66,18,11,16,3,20121029,M,Paris_Masters,F
1314,20121029-M-Paris_Masters-R16-Michael_Llodra-Juan_Martin_Del_Potro,Michael Llodra,Total,15,14,16,3,0,20121029,M,Paris_Masters,R16
1318,20121029-M-Paris_Masters-R16-Michael_Llodra-Juan_Martin_Del_Potro,Juan Martin Del Potro,Total,34,17,14,14,0,20121029,M,Paris_Masters,R16
1322,20121102-M-Paris_Masters-QF-David_Ferrer-Jo_Wilfried_Tsonga,David Ferrer,Total,45,22,12,36,11,20121102,M,Paris_Masters,QF
1326,20121102-M-Paris_Masters-QF-David_Ferrer-Jo_Wilfried_Tsonga,Jo Wilfried Tsonga,Total,55,29,22,13,5,20121102,M,Paris_Masters,QF
1330,20121112-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,Roger Federer,Total,137,96,36,51,4,20121112,M,Tour_Finals,F
1334,20121112-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,Novak Djokovic,Total,162,96,34,39,3,20121112,M,Tour_Finals,F
1338,20130102-M-Brisbane-R16-Jarkko_Nieminen-Alexandr_Dolgopolov,Jarkko Nieminen,Total,69,28,22,12,3,20130102,M,Brisbane,R16
1342,20130102-M-Brisbane-R16-Jarkko_Nieminen-Alexandr_Dolgopolov,Alexandr Dolgopolov,Total,69,17,29,11,0,20130102,M,Brisbane,R16
1346,20130108-M-Sydney-R32-Bernard_Tomic-Marinko_Matosevic,Bernard Tomic,Total,60,31,14,20,1,20130108,M,Sydney,R32
1350,20130108-M-Sydney-R32-Bernard_Tomic-Marinko_Matosevic,Marinko Matosevic,Total,56,47,7,17,1,20130108,M,Sydney,R32
1354,20130109-M-Sydney-R16-Bernard_Tomic-Florian_Mayer,Bernard Tomic,Total,35,49,27,26,2,20130109,M,Sydney,R16
1358,20130109-M-Sydney-R16-Bernard_Tomic-Florian_Mayer,Florian Mayer,Total,62,40,18,16,0,20130109,M,Sydney,R16
1362,20130112-M-Sydney-F-Bernard_Tomic-Kevin_Anderson,Bernard Tomic,Total,85,81,49,23,0,20130112,M,Sydney,F
1366,20130112-M-Sydney-F-Bernard_Tomic-Kevin_Anderson,Kevin Anderson,Total,111,46,22,38,6,20130112,M,Sydney,F
1370,20130117-M-Davis_Cup_World_Group_F-RR-Novak_Djokovic-Tomas_Berdych,Novak Djokovic,Total,112,98,21,35,2,20130117,M,Davis_Cup_World_Group_F,RR
1374,20130117-M-Davis_Cup_World_Group_F-RR-Novak_Djokovic-Tomas_Berdych,Tomas Berdych,Total,126,90,29,43,3,20130117,M,Davis_Cup_World_Group_F,RR
1378,20130120-M-Australian_Open-R16-Novak_Djokovic-Stan_Wawrinka,Novak Djokovic,Total,275,145,115,89,20,20130120,M,Australian_Open,R16
1382,20130120-M-Australian_Open-R16-Novak_Djokovic-Stan_Wawrinka,Stan Wawrinka,Total,356,163,69,68,9,20130120,M,Australian_Open,R16
1386,20130125-M-Australian_Open-SF-David_Ferrer-Novak_Djokovic,David Ferrer,Total,107,79,18,30,8,20130125,M,Australian_Open,SF
1390,20130125-M-Australian_Open-SF-David_Ferrer-Novak_Djokovic,Novak Djokovic,Total,92,39,48,39,0,20130125,M,Australian_Open,SF
1394,20130127-M-Australian_Open-F-Novak_Djokovic-Andy_Murray,Novak Djokovic,Total,262,123,103,98,9,20130127,M,Australian_Open,F
1398,20130127-M-Australian_Open-F-Novak_Djokovic-Andy_Murray,Andy Murray,Total,283,137,90,67,6,20130127,M,Australian_Open,F
1402,20130225-M-Acapulco-F-David_Ferrer-Rafael_Nadal,David Ferrer,Total,60,29,32,24,9,20130225,M,Acapulco,F
1406,20130225-M-Acapulco-F-David_Ferrer-Rafael_Nadal,Rafael Nadal,Total,75,22,35,14,10,20130225,M,Acapulco,F
1410,20130302-M-Dubai-F-Novak_Djokovic-Tomas_Berdych,Novak Djokovic,Total,83,27,35,32,3,20130302,M,Dubai,F
1414,20130302-M-Dubai-F-Novak_Djokovic-Tomas_Berdych,Tomas Berdych,Total,88,35,34,26,8,20130302,M,Dubai,F
1418,20130307-M-Indian_Wells_Masters-R32-Richard_Gasquet-Jerzy_Janowicz,Richard Gasquet,Total,44,24,10,10,0,20130307,M,Indian_Wells_Masters,R32
1422,20130307-M-Indian_Wells_Masters-R32-Richard_Gasquet-Jerzy_Janowicz,Jerzy Janowicz,Total,47,27,4,18,3,20130307,M,Indian_Wells_Masters,R32
1426,20130314-M-Indian_Wells-R16-Tommy_Haas-Juan_Martin_Del_Potro,Tommy Haas,Total,86,50,26,34,3,20130314,M,Indian_Wells,R16
1430,20130314-M-Indian_Wells-R16-Tommy_Haas-Juan_Martin_Del_Potro,Juan Martin Del Potro,Total,83,65,6,31,1,20130314,M,Indian_Wells,R16
1434,20130317-M-Indian_Wells_Masters-F-Rafael_Nadal-Juan_Martin_Del_Potro,Rafael Nadal,Total,178,52,65,39,14,20130317,M,Indian_Wells_Masters,F
1438,20130317-M-Indian_Wells_Masters-F-Rafael_Nadal-Juan_Martin_Del_Potro,Juan Martin Del Potro,Total,137,81,62,56,19,20130317,M,Indian_Wells_Masters,F
1442,20130323-M-Miami_Masters-R64-Bernard_Tomic-Andy_Murray,Bernard Tomic,Total,41,35,19,28,1,20130323,M,Miami_Masters,R64
1446,20130323-M-Miami_Masters-R64-Bernard_Tomic-Andy_Murray,Andy Murray,Total,42,43,9,11,1,20130323,M,Miami_Masters,R64
1450,20130327-M-Miami_Masters-R16-Novak_Djokovic-Tommy_Haas,Novak Djokovic,Total,112,78,24,38,3,20130327,M,Miami_Masters,R16
1454,20130327-M-Miami_Masters-R16-Novak_Djokovic-Tommy_Haas,Tommy Haas,Total,113,84,22,20,2,20130327,M,Miami_Masters,R16
1458,20130414-M-Monte_Carlo_Masters-F-Novak_Djokovic-Rafael_Nadal,Novak Djokovic,Total,143,79,33,33,7,20130414,M,Monte_Carlo_Masters,F
1462,20130414-M-Monte_Carlo_Masters-F-Novak_Djokovic-Rafael_Nadal,Rafael Nadal,Total,124,72,51,43,7,20130414,M,Monte_Carlo_Masters,F
